CleanNames,light_ell,moisture_ell,ph_ell,nitrogen_ell,salt_ell
arrow head,7,11,7,6,0
azolla,7,11,8,8,0
bladderwort,7,12,5,3,0
bolboschoenus,8,10,8,7,4
branched bur reed,7,10,7,7,0
buttercup,6,5,6,5,0
carex large glaucous,7,5,6,2,0
celery leaved buttercup,8,8,8,8,2
common spike rush,8,10,6,4,1
duckweed,7,12,7,5,0
elodea,6,12,7,6,0
equisetum,7,8,6,4,0
fine leaved water dropwort,7,10,7,6,0
glyceria,7,10,6,6,0
hemlock water dropwort,7,9,6,7,1
ivy leaved duckweed,7,12,7,5,0
marsh ragwort,7,8,6,5,0
phragmites,7,10,7,6,2
pink water speedwell,8,10,7,8,0
redleg,7,6,6,7,0
softstem bulrush,9,10,8,7,3
starwort,NA,NA,NA,NA,NA
teasal,NA,NA,NA,NA,NA
tubular water dropwort,7,9,7,6,0
water cress,7,10,7,7,0
water dropwort filamentous leaves,7,10,7,6,0
water violet,7,11,7,5,0
willow herb,6,7,6,5,0
wormwood,7,4,7,9,0
