NameProvided,CleanName,Coalesced1,Coalesced1Accepted,ReturnedNameProvided,ReturnedClean,Coalesced2,Coalesced2Accepted,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Agrostis stolonifera,Bentgrass ,Bentgrass ,NA,NA,NA,Agrostis stolonifera,Agrostis stolonifera,NA,NA,NA,NA,NA
Alisma plantago-aquatica,Water plantain,Water plantain,NA,NA,NA,Alisma plantago-aquatica,Alisma plantago-aquatica,NA,NA,NA,NA,NA
Apium nodiflorum,Fools water cress,Fools water cress,NA,NA,NA,Apium nodiflorum,Apium nodiflorum,NA,NA,NA,NA,NA
Artemisia,Wormwood,Wormwood,NA,NA,NA,Artemisia,Artemisia,NA,NA,NA,NA,NA
Berula erecta,Water parsnip,Water parsnip,NA,NA,NA,Berula erecta,Berula erecta,NA,NA,NA,NA,NA
Bolboschoenus,Bolboschoenus,Bolboschoenus,Bolboschoenus,NA,NA,Bolboschoenus,Bolboschoenus,NA,NA,NA,NA,NA
Callitriche spp,Starwort,Starwort,NA,NA,NA,Callitriche spp,NA,NA,NA,NA,NA,NA
Caltha palustris,Marsh Marigold,Marsh Marigold,NA,NA,NA,Caltha palustris,Caltha palustris,NA,NA,NA,NA,NA
Caltha palustris,Marsh Marigold distal,Marsh Marigold distal,NA,NA,NA,Caltha palustris,Caltha palustris,NA,NA,NA,NA,NA
Calystegia sepium,Bind weed,Bind weed,NA,NA,NA,Calystegia sepium,Calystegia sepium,NA,NA,NA,NA,NA
Charophyte,Blanket weed,Blanket weed,NA,NA,NA,Charophyte,NA,NA,NA,NA,NA,NA
Dryopteris sp,Fern,Fern,NA,NA,NA,Dryopteris sp,Dryopteris,NA,NA,NA,NA,NA
Eleocharis palustris,Common spikerush,Eleocharis palustris,Eleocharis macrostachya,NA,Eleocharis palustris,Eleocharis palustris,Eleocharis macrostachya,NA,NA,NA,NA,NA
Epilobium hirsutum,Great willow herb,Great willow herb,NA,NA,NA,Epilobium hirsutum,Epilobium hirsutum,NA,NA,NA,NA,NA
