site,plot,plot_id,season,year,dip_point,an_maculipennis,an_claviger,cx_pipiens,cs_annulata,cs_morsitans,oc_cantans,oc_caspius,fish,water_boatman,water_beetle_larva,water_beetle,damselfly_larva,dragonfly_larva,phantom_midge,backswimmer,saucer_bug,water_scorpion,water_spider,newt,tadpole,frog,flatworm,gammarus,dry,cleared,width,freeboard,exposure,management,shaded,edgedepth,centredepth,water_temperature_c,flow_speed_m_s,dissolved_oxygen,turbidity,salinity,total_cover,cover_emergent,cover_surface,cover_vertical
81,1,8101,2,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,2,1,1,NA,NA,NA,0,NA,NA,NA,0.0625,0,0,0.0625
81,1,8101,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,2,1,1,NA,NA,21.2,0,106.2,0.899,0.69,0.0625,0,0,0.0625
81,1,8101,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,2,1,1,NA,NA,NA,0,NA,NA,NA,0.0625,0,0,0.0625
81,1,8101,2,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,2,1,1,NA,NA,NA,0,NA,NA,NA,0.0625,0,0,0.0625
81,1,8101,2,2009,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0,0,0.0625
81,1,8101,2,2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0,0,0.0625
81,2,8102,2,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,15,20,19.56,0,122.7,0.493,0.37,0.95,0,0.5666666666666667,0.38333333333333336
81,2,8102,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,20,15,NA,0,NA,NA,NA,0.95,0,0.5666666666666667,0.38333333333333336
81,2,8102,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,20,10,20.16,0,118.2,0.447,0.34,0.95,0,0.5666666666666667,0.38333333333333336
81,2,8102,2,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,20,20,NA,0,NA,NA,NA,0.95,0,0.5666666666666667,0.38333333333333336
81,2,8102,2,2009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,10,20,19.23,0,124.5,0.498,0.38,0.95,0,0.5666666666666667,0.38333333333333336
81,2,8102,2,2009,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8500000000000001,4,1,0.8,20,30,NA,0,NA,NA,NA,0.95,0,0.5666666666666667,0.38333333333333336
81,3,8103,2,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0.8,20,20,20.15,0,118.3,0.759,0.58,0.8,0,0.4666666666666667,0.3333333333333333
81,3,8103,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0.95,15,20,NA,0,NA,NA,NA,0.8,0,0.4666666666666667,0.3333333333333333
81,3,8103,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0.75,20,30,20,0,98.2,0.641,0.49,0.8,0,0.4666666666666667,0.3333333333333333
81,3,8103,2,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0.75,20,20,NA,0,NA,NA,NA,0.8,0,0.4666666666666667,0.3333333333333333
81,3,8103,2,2009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0.85,10,20,18.55,0,129.4,0.751,0.58,0.8,0,0.4666666666666667,0.3333333333333333
81,3,8103,2,2009,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0.9,10,10,NA,0,NA,NA,NA,0.8,0,0.4666666666666667,0.3333333333333333
81,4,8104,2,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,2,1,0.8,4,7,NA,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
81,4,8104,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,1,0.8,4,7,NA,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
81,4,8104,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,1,0.8,4,7,NA,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
81,4,8104,2,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,1,0.8,4,7,NA,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
81,4,8104,2,2009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,1,0.8,4,20,20,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
81,4,8104,2,2009,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,1,0.8,4,20,NA,0,NA,NA,NA,0.8588888888888889,0,0.48944444444444446,0.36944444444444446
82,1,8201,2,2009,1,2,0,0,0,0,0,0,7,4,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,2.1,0.7,1,1,0.15,15,55,20.45,0,115.87,0.544,0.41,0.3633333333333333,0,0.2633333333333333,0.1
82,1,8201,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0.7,1,1,0.15,15,47,NA,0,NA,NA,NA,0.3633333333333333,0,0.2633333333333333,0.1
82,1,8201,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0.7,1,1,0.15,10,50,20.77,0,114.4,0.542,0.41,0.3633333333333333,0,0.2633333333333333,0.1
82,1,8201,2,2009,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0.7,1,1,0.15,17,55,NA,0,NA,NA,NA,0.3633333333333333,0,0.2633333333333333,0.1
82,1,8201,2,2009,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0.7,1,1,0.15,20,50,21,0,112.7,0.543,0.41,0.3633333333333333,0,0.2633333333333333,0.1
82,1,8201,2,2009,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,0.7,1,1,0.15,15,50,NA,0,NA,NA,NA,0.3633333333333333,0,0.2633333333333333,0.1
82,2,8202,2,2009,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,1,5,1,0.4,25,60,22.8,0,102.3,0.447,0.33,0.34586419749999997,0,0.28888888888888886,0.056975308611111115
82,2,8202,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,1,5,1,0.4,30,55,NA,0,NA,NA,NA,0.34586419749999997,0,0.28888888888888886,0.056975308611111115
82,2,8202,2,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,1,5,1,0.4,20,50,22.74,0,102.6,0.45,0.34,0.34586419749999997,0,0.28888888888888886,0.056975308611111115
82,2,8202,2,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,1,5,1,0.4,20,58,NA,0,NA,NA,NA,0.34586419749999997,0,0.28888888888888886,0.056975308611111115
