CleanName,URL
Duckweed,https://www.brc.ac.uk/plantatlas/plant/lemna-gibba
Duckweed,https://www.brc.ac.uk/plantatlas/plant/lemna-minor
Duckweed,https://www.brc.ac.uk/plantatlas/plant/lemna-minuta
Duckweed,https://www.brc.ac.uk/plantatlas/plant/lemna-trisulca
Duckweed,https://www.brc.ac.uk/plantatlas/plant/spirodela-polyrhiza
Duckweed,https://www.brc.ac.uk/plantatlas/plant/wolffia-arrhiza
Frog bit,https://www.brc.ac.uk/plantatlas/plant/hydrocharis-morsus-ranae
Carex,
Carex disticha,https://www.brc.ac.uk/plantatlas/plant/carex-disticha
Carex large glaucous,https://www.brc.ac.uk/plantatlas/plant/carex-flacca
Carex pseudocyperus,https://www.brc.ac.uk/plantatlas/plant/carex-pseudocyperus
Glyceria,https://www.brc.ac.uk/plantatlas/plant/glyceria-declinata
Glyceria,https://www.brc.ac.uk/plantatlas/plant/glyceria-fluitans
Glyceria,https://www.brc.ac.uk/plantatlas/plant/glyceria-maxima
Glyceria,https://www.brc.ac.uk/plantatlas/plant/glyceria-notata
Glyceria,https://www.brc.ac.uk/plantatlas/plant/hydrocharis-morsus-ranae
Glyceria fluitans,https://www.brc.ac.uk/plantatlas/plant/glyceria-fluitans
Glyceria maxima,https://www.brc.ac.uk/plantatlas/plant/glyceria-maxima
Juncus,
Juncus effusus,https://www.brc.ac.uk/plantatlas/plant/juncus-effusus
Juncus subnodulosus,https://www.brc.ac.uk/plantatlas/plant/juncus-subnodulosus
Grass,
Ivyleaved duckweed,https://www.brc.ac.uk/plantatlas/plant/lemna-trisulca
Blanket weed,
Azolla,https://www.brc.ac.uk/plantatlas/plant/azolla-filiculoides
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-arvense
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-fluviatile
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-hyemale
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-palustre
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-pratense
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-ramosissimum
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-sylvaticum
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-telmateia
Equisetum,https://www.brc.ac.uk/plantatlas/plant/equisetum-variegatum
Elodea,https://www.brc.ac.uk/plantatlas/plant/elodea-canadensis
Elodea,https://www.brc.ac.uk/plantatlas/plant/elodea-nuttallii
Phragmites,https://www.brc.ac.uk/plantatlas/plant/phragmites-australis
Branched burreed,https://www.brc.ac.uk/plantatlas/plant/sparganium-erectum
Bolboschoenus,https://www.brc.ac.uk/plantatlas/plant/bolboschoenus-maritimus
Tubular water dropwort,https://www.brc.ac.uk/plantatlas/plant/oenanthe-fistulosa
Bladderwort,https://www.brc.ac.uk/plantatlas/plant/utricularia-australis
Water dropwort filamentous leaves,https://www.brc.ac.uk/plantatlas/plant/oenanthe-aquatica
Water cress,https://www.brc.ac.uk/plantatlas/plant/rorippa-nasturtium-aquaticum
Celeryleaved buttercup,https://www.brc.ac.uk/plantatlas/plant/ranunculus-sceleratus
