"","NameProvided","VariableName","CleanName.x","CleanName.y","light","moisture","ph","nitrogen","salt"
"1","Lemnaceae","Proximal_cover_Duckweed_[%]","Duckweed","Duckweed",7,12,7,5,0
"2","Lemnaceae","Proximal_height_Duckweed_[cm]","Duckweed","Duckweed",7,12,7,5,0
"3","Lemnaceae","Central_cover_Duckweed_[%]","Duckweed","Duckweed",7,12,7,5,0
"4","Lemnaceae","Central_height_Duckweed_[cm]","Duckweed","Duckweed",7,12,7,5,0
"5","Lemnaceae","Distal_cover_Duckweed_[%]","Duckweed","Duckweed",7,12,7,5,0
"6","Lemnaceae","Distal_height_Duckweed_[cm]","Duckweed","Duckweed",7,12,7,5,0
"7","Lemna triscula","Proximal_cover_Ivy-leaved duckweed_[%]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"8","Lemna triscula","Proximal_height_Ivy-leaved duckweed_[cm]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"9","Lemna triscula","Central_cover_Ivy-leaved duckweed_[%]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"10","Lemna triscula","Central_height_Ivy-leaved duckweed_[cm]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"11","Lemna triscula","Distal_cover_Ivy-leaved duckweed_[%]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"12","Lemna triscula","Distal_height_Ivy-leaved duckweed_[cm]","Ivyleaved duckweed","Ivyleaved duckweed",7,12,7,5,0
"13","Hydrocharis","Proximal_cover_Frog bit_[%]","Frog bit","Frog bit",7,11,7,7,0
"14","Hydrocharis","Proximal_height_Frog bit_[cm]","Frog bit","Frog bit",7,11,7,7,0
"15","Hydrocharis","Central_cover_Frog bit_[%]","Frog bit","Frog bit",7,11,7,7,0
"16","Hydrocharis","Central_height_Frog bit_[cm]","Frog bit","Frog bit",7,11,7,7,0
"17","Hydrocharis","Distal_cover_Frog bit_[%]","Frog bit","Frog bit",7,11,7,7,0
"18","Hydrocharis","Distal_height_Frog bit_[cm]","Frog bit","Frog bit",7,11,7,7,0
"19","Water fern","Proximal_cover_Azolla_[%]","Azolla","Azolla",7,11,8,8,0
"20","Water fern","Proximal_height_Azolla_[cm]","Azolla","Azolla",7,11,8,8,0
"21","Water fern","Central_cover_Azolla_[%]","Azolla","Azolla",7,11,8,8,0
"22","Water fern","Central_height_Azolla_[cm]","Azolla","Azolla",7,11,8,8,0
"23","Water fern","Distal_cover_Azolla_[%]","Azolla","Azolla",7,11,8,8,0
"24","Water fern","Distal_height_Azolla_[cm]","Azolla","Azolla",7,11,8,8,0
"25","Charophyte","Proximal_cover_Blanket weed_[%]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"26","Charophyte","Proximal_height_Blanket weed_[cm]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"27","Charophyte","Central_cover_Blanket weed_[%]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"28","Charophyte","Central_height_Blanket weed_[cm]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"29","Charophyte","Distal_cover_Blanket weed_[%]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"30","Charophyte","Distal_height_Blanket weed_[cm]","Blanket weed","Blanket weed",NA,NA,NA,NA,NA
"31","Water weed","Proximal_cover_Elodea_[%]","Elodea","Elodea",6,12,7,6,0
"32","Water weed","Proximal_height_Elodea_[cm]","Elodea","Elodea",6,12,7,6,0
"33","Water weed","Central_cover_Elodea_[%]","Elodea","Elodea",6,12,7,6,0
"34","Water weed","Central_height_Elodea_[cm]","Elodea","Elodea",6,12,7,6,0
"35","Water weed","Distal_cover_Elodea_[%]","Elodea","Elodea",6,12,7,6,0
"36","Water weed","Distal_height_Elodea_[cm]","Elodea","Elodea",6,12,7,6,0
"37",NA,"Proximal_cover_Carex_[%]","Carex","Carex",NA,NA,NA,NA,NA
"38",NA,"Proximal_height_Carex_[cm]","Carex","Carex",NA,NA,NA,NA,NA
"39",NA,"Central_cover_Carex_[%]","Carex","Carex",NA,NA,NA,NA,NA
"40",NA,"Central_height_Carex_[cm]","Carex","Carex",NA,NA,NA,NA,NA
"41",NA,"Distal_cover_Carex_[%]","Carex","Carex",NA,NA,NA,NA,NA
"42",NA,"Distal_height_Carex_[cm]","Carex","Carex",NA,NA,NA,NA,NA
"43","Two-ranked sedge","Proximal_cover_Carex disticha_[%]","Carex disticha","Carex disticha",7,8,6,4,0
"44","Two-ranked sedge","Proximal_height_Carex disticha_[cm]","Carex disticha","Carex disticha",7,8,6,4,0
"45","Two-ranked sedge","Central_cover_Carex disticha_[%]","Carex disticha","Carex disticha",7,8,6,4,0
"46","Two-ranked sedge","Central_height_Carex disticha_[cm]","Carex disticha","Carex disticha",7,8,6,4,0
"47","Two-ranked sedge","Distal_cover_Carex disticha_[%]","Carex disticha","Carex disticha",7,8,6,4,0
"48","Two-ranked sedge","Distal_height_Carex disticha_[cm]","Carex disticha","Carex disticha",7,8,6,4,0
"49",NA,"Proximal_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"50",NA,"Proximal_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"51",NA,"Proximal_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"52",NA,"Proximal_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"53",NA,"Central_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"54",NA,"Central_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"55",NA,"Central_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"56",NA,"Central_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"57",NA,"Distal_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"58",NA,"Distal_cover_Carex (large glaucous)_[%]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"59",NA,"Distal_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"60",NA,"Distal_height_Carex (large glaucous)_[cm]","Carex large glaucous","Carex large glaucous",7,5,6,2,0
"61","Hop sedge","Proximal_cover_Carex pseudocyperus_[%]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"62","Hop sedge","Proximal_height_Carex pseudocyperus_[cm]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"63","Hop sedge","Central_cover_Carex pseudocyperus_[%]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"64","Hop sedge","Central_height_Carex pseudocyperus_[cm]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"65","Hop sedge","Distal_cover_Carex pseudocyperus_[%]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"66","Hop sedge","Distal_height_Carex pseudocyperus_[cm]","Carex pseudocyperus","Carex pseudocyperus",7,9,6,6,0
"67",NA,"Proximal_cover_Glyceria_[%]","Glyceria","Glyceria",7,10,6,6,0
"68",NA,"Proximal_height_Glyceria_[cm]","Glyceria","Glyceria",7,10,6,6,0
"69",NA,"Central_cover_Glyceria_[%]","Glyceria","Glyceria",7,10,6,6,0
"70",NA,"Central_height_Glyceria_[cm]","Glyceria","Glyceria",7,10,6,6,0
"71",NA,"Distal_cover_Glyceria_[%]","Glyceria","Glyceria",7,10,6,6,0
"72",NA,"Distal_height_Glyceria_[cm]","Glyceria","Glyceria",7,10,6,6,0
"73","Water mannagrass","Proximal_cover_Glyceria fluitans_[%]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"74","Water mannagrass","Proximal_height_Glyceria fluitans_[cm]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"75","Water mannagrass","Central_cover_Glyceria fluitans_[%]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"76","Water mannagrass","Central_height_Glyceria fluitans_[cm]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"77","Water mannagrass","Distal_cover_Glyceria fluitans_[%]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"78","Water mannagrass","Distal_height_Glyceria fluitans_[cm]","Glyceria fluitans","Glyceria fluitans",7,10,6,6,0
"79","Reed mannagrass","Proximal_cover_Glyceria maxima_[%]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"80","Reed mannagrass","Proximal_height_Glyceria maxima_[cm]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"81","Reed mannagrass","Central_cover_Glyceria maxima_[%]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"82","Reed mannagrass","Central_height_Glyceria maxima_[cm]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"83","Reed mannagrass","Distal_cover_Glyceria maxima_[%]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"84","Reed mannagrass","Distal_height_Glyceria maxima_[cm]","Glyceria maxima","Glyceria maxima",7,10,7,8,0
"85",NA,"Proximal_cover_Juncus_[%]","Juncus","Juncus",NA,NA,NA,NA,NA
