NameProvided,VariableName,CleanName,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Water mannagrass,Proximal_cover_Glyceria fluitans_[%],Glyceria fluitans,6,10,5,6,0
Water mannagrass,Proximal_height_Glyceria fluitans_[cm],Glyceria fluitans,6,10,5,6,0
Water mannagrass,Central_cover_Glyceria fluitans_[%],Glyceria fluitans,6,10,5,6,0
Water mannagrass,Central_height_Glyceria fluitans_[cm],Glyceria fluitans,6,10,5,6,0
Water mannagrass,Distal_cover_Glyceria fluitans_[%],Glyceria fluitans,6,10,5,6,0
Water mannagrass,Distal_height_Glyceria fluitans_[cm],Glyceria fluitans,6,10,5,6,0
Juncus effusus,Proximal_cover_Juncus effusus_[%],Juncus effusus,7,7,3,4,0
Juncus effusus,Proximal_height_Juncus effusus_[cm],Juncus effusus,7,7,3,4,0
Juncus effusus,Central_cover_Juncus effusus_[%],Juncus effusus,7,7,3,4,0
Juncus effusus,Central_height_Juncus effusus_[cm],Juncus effusus,7,7,3,4,0
Juncus effusus,Distal_cover_Juncus effusus_[%],Juncus effusus,7,7,3,4,0
Juncus effusus,Distal_height_Juncus effusus_[cm],Juncus effusus,7,7,3,4,0
Juncus subnodulosus,Proximal_cover_Juncus subnodulosus_[%],Juncus subnodulosus,7,8,8,3,0
Juncus subnodulosus,Proximal_height_Juncus subnodulosus_[cm],Juncus subnodulosus,7,8,8,3,0
Juncus subnodulosus,Central_cover_Juncus subnodulosus_[%],Juncus subnodulosus,7,8,8,3,0
Juncus subnodulosus,Central_height_Juncus subnodulosus_[cm],Juncus subnodulosus,7,8,8,3,0
Juncus subnodulosus,Distal_cover_Juncus subnodulosus_[%],Juncus subnodulosus,7,8,8,3,0
Juncus subnodulosus,Distal_height_Juncus subnodulosus_[cm],Juncus subnodulosus,7,8,8,3,0
Lysimachia nummularia,Proximal_cover_Moneywort_[%],Moneywort,4,6,5,5,0
Lysimachia nummularia,Proximal_height_Moneywort_[cm],Moneywort,4,6,5,5,0
Lysimachia nummularia,Central_cover_Moneywort_[%],Moneywort,4,6,5,5,0
Lysimachia nummularia,Central_height_Moneywort_[cm],Moneywort,4,6,5,5,0
Lysimachia nummularia,Distal_cover_Moneywort_[%],Moneywort,4,6,5,5,0
Lysimachia nummularia,Distal_height_Moneywort_[cm],Moneywort,4,6,5,5,0
Rumex hydrolapathum,Proximal_cover_Water dock_[%],Water dock,7,8,7,7,0
Rumex hydrolapathum,Proximal_height_Water dock_[cm],Water dock,7,8,7,7,0
Rumex hydrolapathum,Central_cover_Water dock_[%],Water dock,7,8,7,7,0
Rumex hydrolapathum,Central_height_Water dock_[cm],Water dock,7,8,7,7,0
Rumex hydrolapathum,Distal_cover_Water dock_[%],Water dock,7,8,7,7,0
Rumex hydrolapathum,Distal_height_Water dock_[cm],Water dock,7,8,7,7,0
Mentha aquatica,Proximal_cover_Water mint_[%],Water mint,7,8,7,5,0
Mentha aquatica,Proximal_height_Water mint_[cm],Water mint,7,8,7,5,0
Mentha aquatica,Central_cover_Water mint_[%],Water mint,7,8,7,5,0
Mentha aquatica,Central_height_Water mint_[cm],Water mint,7,8,7,5,0
Mentha aquatica,Distal_cover_Water mint_[%],Water mint,7,8,7,5,0
