NameProvided,CleanName,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S
Lemnaceae,Duckweed,NA,NA,NA,NA,NA
Water fern,Azolla,NA,NA,NA,NA,NA
Water weed,Elodea,NA,NA,NA,NA,NA
NA,Carex,NA,NA,NA,NA,NA
Two-ranked sedge,Carex disticha,7,8,6,4,0
Hop sedge,Carex pseudocyperus,7,9,6,5,0
NA,Glyceria,NA,NA,NA,NA,NA
Water mannagrass,Glyceria fluitans,6,10,5,6,0
Reed mannagrass,Glyceria maxima,7,10,7,8,0
NA,Juncus,NA,NA,NA,NA,NA
Juncus effusus,Juncus effusus,7,7,3,4,0
Juncus subnodulosus,Juncus subnodulosus,7,8,8,3,0
Typha latifolia,Typha,NA,NA,NA,NA,NA
Utricularia,Bladderwort,NA,NA,NA,NA,NA
Bolboschoenus,Bolboschoenus,NA,NA,NA,NA,NA
NA,Bramble,NA,NA,NA,NA,NA
Horsetail,Equisetum,NA,NA,NA,NA,NA
Lysimachia nummularia,Moneywort,4,6,5,5,0
NA,Phragmites,NA,NA,NA,NA,NA
Fleabane,Pulicaria dysenterica,7,7,7,4,0
Lythrum salicaria,Purple loosestrife,NA,NA,NA,NA,NA
Myosoton aquaticum,Water chickweed,NA,NA,NA,NA,NA
Rumex hydrolapathum,Water dock,7,8,7,7,0
Mentha aquatica,Water mint,7,8,7,5,0
Typha latifolia,Typha,8,10,7,7,0
Lythrum salicaria,Purple loosestrife,7,8,6,5,0
Myosoton aquaticum,Water chickweed,6,8,7,8,0
Hydrocharis,Frog bit,NA,NA,NA,NA,NA
Iris pseudacorus,Yellow flag,6,9,6,6,0
Iris pseudacorus,Yellow Flag,6,9,6,6,0
Persicaria amphibia,Amphibian bistort,7,10,6,4,0
Sagittaria,Arrow head,NA,NA,NA,NA,NA
Agrostis stolonifera,Bentgrass ,7,6,6,5,0
Calystegia sepium,Bind weed,7,6,7,7,0
Sparganium erectum,Branched burreed,7,10,7,7,0
Lycopus europaeus,Bugleweed,6,8,7,6,0
Ranunculus sceleratus,Celeryleaved buttercup,8,8,7,8,1
Symphytum officinale,Comfrey,7,7,7,8,0
Galium palustre,Marsh bedstraw,6,9,5,4,0
Lotus pedunculatus,Marsh birds foot trefoil,7,8,4,4,0
Stellaria palustris,Marsh Stitchwort,5,8,4,2,0
Filipendula ulmaria,Meadow sweet,6,8,6,5,0
Urtica dioica,Nettle,5,6,7,8,0
Phalaris arundinacea,Reed canary grass,7,8,7,7,0
Schoenoplectus tabernaemontani,Softstem bulrush,NA,NA,NA,NA,NA
Oenanthe aquatica,Fineleaved water dropwort,7,10,7,6,0
Apium nodiflorum,Fools water cress,7,10,7,7,0
Rorippa nasturtium-aquaticum,Water cress,NA,NA,NA,NA,NA
Berula erecta,Water parsnip,7,10,7,6,0
Alisma plantago-aquatica,Water plantain,7,10,7,7,0
Hottonia,Water violet,NA,NA,NA,NA,NA
Epilobium hirsutum,Great willow herb,7,8,7,7,0
Solanum dulcamara,Woody night shade,6,8,6,7,0
Artemisia,Wormwood,NA,NA,NA,NA,NA
Persicaria,Redleg,NA,NA,NA,NA,NA
Veronica beccabunga,Brooklime,6,10,6,6,0
Caltha palustris,Marsh Marigold,6,9,5,4,0
Caltha palustris,Marsh Marigold distal,6,9,5,4,0
