CleanNames,NameProvided,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,ell_S,perc_pres,mean_covervalue
amphibian bistort,Persicaria amphibia,7,10,6,4,0,0.005874947545111205,1.9372795386904762e-4
arrow head,Sagittaria,NA,NA,NA,NA,NA,0.00419639110365086,1.0058410466269841e-4
azolla,Water fern,NA,NA,NA,NA,NA,0.004616030214015947,0.004489087301587301
bare mud,NA,NA,NA,NA,NA,NA,0.001258917331095258,4.197530864197531e-5
bentgrass,Agrostis stolonifera,7,6,6,5,0,0,0
bind weed,Calystegia sepium,7,6,7,7,0,0.005035669324381032,3.7698412698412696e-4
bladderwort,Utricularia,NA,NA,NA,NA,NA,0.012169534200587495,8.670910441468254e-4
blanket weed,NA,NA,NA,NA,NA,NA,0.03692824171212757,0.013715966708829365
bolboschoenus,Bolboschoenus,NA,NA,NA,NA,NA,0.007553503986571549,0.0011483134920634921
bramble,NA,NA,NA,NA,NA,NA,0.001678556441460344,5.594135788690476e-5
branched bur reed,NA,NA,NA,NA,NA,NA,0.010910616869492237,0.0012177579365079364
brooklime,Veronica beccabunga,6,10,6,6,0,0.001678556441460344,4.3540564236111114e-5
bugleweed,Lycopus europaeus,6,8,7,6,0,0,0
buttercup,NA,NA,NA,NA,NA,NA,0.00209819555182543,7.468033482142857e-5
carex,NA,NA,NA,NA,NA,NA,0.16659672681493914,0.03377356144717262
carex disticha,Two-ranked sedge,7,8,6,4,0,0,0
carex large glaucous,NA,NA,NA,NA,NA,NA,0,0
carex pseudocyperus,Hop sedge,7,9,6,5,0,0,0
celery leaved buttercup,NA,NA,NA,NA,NA,NA,0.00839278220730172,1.9400352554563492e-4
clover,NA,NA,NA,NA,NA,NA,4.19639110365086e-4,1.240079365079365e-5
comfrey,Symphytum officinale,7,7,7,8,0,0.001678556441460344,8.570326264880952e-5
common spike rush,NA,NA,NA,NA,NA,NA,8.39278220730172e-4,2.48015873015873e-5
duckweed,Lemnaceae,NA,NA,NA,NA,NA,0.32605958875367186,0.20818049304722638
elodea,Water weed,NA,NA,NA,NA,NA,0.005035669324381032,0.003722718253968254
equisetum,Horsetail,NA,NA,NA,NA,NA,0.03483004616030214,0.004459876535218254
fern,NA,NA,NA,NA,NA,NA,0,0
fine leaved water dropwort,NA,NA,NA,NA,NA,NA,0.001678556441460344,4.464285714285714e-5
fools water cress,Apium nodiflorum,7,10,7,7,0,0.001258917331095258,3.3978174603174603e-4
frog bit,Hydrocharis,NA,NA,NA,NA,NA,0.14561477129668485,0.025596478138640872
glyceria,NA,NA,NA,NA,NA,NA,0.12085606378514478,0.03030051250248016
