plot_id,arable_horticulture,broadleaved_woodland,improved_grassland,neutral_grassland,rough_grassland,suburban
8101,0.02,0,0.14,0.01,0,0
8102,0.02,0,0.13,0.01,0,0
8103,0.02,0,0.14,0.01,0,0
8104,0.02,0,0.14,0.01,0,0
8201,0.02,0,0.11,0,0,0.04
8202,0.02,0,0.11,0,0,0.04
8203,0.01,0,0.13,0,0,0.03
8204,0.02,0,0.12,0,0,0.03
8301,0.02,0,0.12,0.01,0,0.01
8302,0.02,0,0.11,0.01,0.01,0.01
8303,0.02,0.01,0.12,0.01,0,0.01
8304,0.02,0.01,0.12,0.01,0,0.01
8401,0.06,0,0.1,0,0.01,0
8402,0.06,0,0.1,0,0.01,0
8403,0.06,0,0.09,0,0.01,0
8404,0.05,0,0.1,0,0.02,0
8501,0.07,0,0.08,0.01,0,0
8502,0.07,0,0.09,0,0,0
8503,0.07,0,0.08,0.01,0.01,0
8504,0.07,0,0.09,0,0,0
8601,0.05,0,0.11,0.01,0,0
8602,0.05,0,0.11,0.01,0,0
8603,0.06,0,0.1,0,0,0
8604,0.06,0,0.1,0,0,0
8701,0.03,0,0.12,0,0,0
8702,0.03,0,0.13,0,0,0
8703,0.03,0,0.13,0,0,0
8704,0.03,0,0.13,0,0,0
8801,0.04,0,0.11,0,0.01,0.01
8802,0.04,0,0.11,0,0.01,0.01
8803,0.04,0,0.11,0,0.01,0.01
8804,0.04,0,0.11,0,0,0.01
8901,0.06,0,0.1,0,0.01,0
8902,0.05,0,0.11,0,0.01,0
8903,0.05,0,0.11,0,0.01,0
8904,0.06,0,0.1,0,0.01,0
9001,0.05,0,0.11,0,0,0
9002,0.06,0,0.1,0,0,0
9003,0.05,0,0.11,0,0.01,0
9004,0.05,0,0.11,0,0.01,0
9101,0.06,0,0.1,0,0,0
9102,0.07,0,0.09,0,0,0
9103,0.07,0,0.09,0,0,0
9104,0.07,0,0.09,0,0,0
9201,0.04,0,0.11,0,0,0
9202,0.04,0,0.11,0,0.01,0
9203,0.05,0,0.11,0,0.01,0
9204,0.05,0,0.11,0,0.01,0
9301,0.03,0,0.12,0,0,0.01
9302,0.03,0,0.12,0,0,0.01
9303,0.03,0,0.13,0,0,0
9501,0.05,0,0.09,0,0.02,0
9502,0.05,0,0.09,0.01,0.02,0
9503,0.04,0,0.1,0.01,0.02,0
9504,0.04,0,0.1,0.01,0.02,0
9601,0.09,0,0.06,0,0.01,0.01
9602,0.08,0,0.07,0,0.01,0.01
9603,0.08,0,0.07,0,0,0.01
9604,0.07,0,0.08,0,0,0.01
9701,0.07,0.01,0.09,0,0.01,0
9702,0.07,0.01,0.08,0,0.01,0
9703,0.06,0.01,0.09,0,0.01,0
9704,0.07,0.01,0.09,0,0.01,0
9802,0.07,0,0.09,0,0,0
9803,0.07,0,0.09,0,0.01,0
9804,0.07,0,0.09,0,0.01,0
9805,0.06,0,0.1,0,0.01,0
