OBJECTID,CNTRY_NAME,max_lat,min_lat
"1",Aruba,12.628,"12"
"2",Antigua and Barbuda,17.724,"17"
"3",Afghanistan,38.472,"29"
"4",Algeria,37.090,"19"
"5",Azerbaijan,41.897,"38"
"6",Albania,42.660,"40"
"7",Armenia,41.297,"39"
"8",Andorra,42.656,"42"
"9",Angola,-4.389,"-18"
"10",American Samoa,-14.254,"-14"
"11",Argentina,-21.781,"-55"
"12",Australia,-10.136,"-55"
"13",Austria,49.019,"46"
"14",Anguilla,18.273,"18"
"15",Antarctica,-60.503,"-90"
"16",Bahrain,26.289,"26"
"17",Barbados,13.337,"13"
"18",Botswana,-17.782,"-27"
"19",Bermuda,32.380,"32"
"20",Belgium,51.501,"50"
"21","Bahamas, The",26.929,"21"
"22",Bangladesh,26.626,"21"
"23",Belize,18.490,"16"
"24",Bosnia and Herzegovina,45.266,"43"
"25",Bolivia,-9.679,"-23"
"26",Myanmar (Burma),28.547,"10"
"27",Benin,12.397,"6"
"28",Byelarus,56.167,"51"
"29",Solomon Islands,-6.606,"-12"
"30",Brazil,5.273,"-34"
"31",Bhutan,28.325,"27"
"32",Bulgaria,44.225,"41"
"33",Bouvet Island,-54.384,"-54"
"34",Brunei,5.053,"4"
"35",Burundi,-2.302,"-4"
"36",Canada,83.114,"42"
"37",Cambodia,14.709,"10"
"38",Chad,23.451,"7"
"39",Sri Lanka,9.828,"6"
"40",Congo,3.711,"-5"
"41",Zaire,5.381,"-13"
"42",China,53.554,"18"
"43",Chile,-17.505,"-56"
"44",Cayman Islands,19.354,"19"
"45",Cocos (Keeling) Islands,-12.130,"-12"
"46",Cameroon,13.085,"2"
"47",Comoros,-11.367,"-12"
"48",Colombia,12.590,"-4"
"49",Northern Mariana Islands,15.268,"15"
"50",Costa Rica,11.213,"8"
"51",Central African Republic,11.001,"2"
"52",Cuba,23.194,"20"
"53",Cape Verde,17.192,"15"
"54",Cook Islands,-10.881,"-22"
"55",Cyprus,35.689,"35"
"56",Denmark,57.746,"55"
"57",Djibouti,12.708,"11"
"58",Dominica,15.632,"15"
"59",Jarvis Island,-0.374,"0"
"60",Dominican Republic,19.931,"18"
"61",Ecuador,1.438,"-5"
"62",Egypt,31.647,"22"
"63",Ireland,55.380,"51"
"64",Equatorial Guinea,3.763,"1"
"65",Estonia,59.665,"58"
"66",Eritrea,17.995,"12"
"67",El Salvador,14.432,"13"
"68",Ethiopia,14.884,"3"
"69",Czech Republic,51.052,"49"
"70",French Guiana,5.755,"2"
"71",Finland,70.089,"60"
"72",Fiji,-16.153,"-19"
"73",Falkland Islands (Islas Malvinas),-51.249,"-52"
"74",Federated States of Micronesia,6.978,"5"
"75",Faroe Islands,62.357,"61"
"76",French Polynesia,-8.778,"-18"
"77",Baker Island,0.223,"0"
"78",France,51.091,"41"
"79",French Southern & Antarctic Lands,-46.328,"-50"
"80","Gambia, The",13.826,"13"
"81",Gabon,2.318,"-4"
"82",Georgia,43.585,"41"
"83",Ghana,11.156,"5"
"84",Gibraltar,36.163,"36"
"85",Grenada,12.237,"12"
"86",Guernsey,49.508,"49"
"87",Greenland,83.624,"60"
"88",Germany,55.057,"47"
"89",Glorioso Islands,-11.554,"-12"
"90",Guadeloupe,16.513,"16"
"91",Guam,13.652,"13"
"92",Greece,41.748,"35"
"93",Guatemala,17.821,"14"
"94",Guinea,12.677,"7"
"95",Guyana,8.535,"1"
"96",Gaza Strip,31.596,"31"
"97",Haiti,20.091,"18"
"98",Heard Island & McDonald Islands,-52.965,"-53"
"99",Honduras,16.436,"13"
"100",Howland Island,0.809,"1"
"101",Croatia,46.536,"42"
"102",Hungary,48.576,"46"
"103",Iceland,66.536,"63"
"104",Indonesia,5.913,"-11"
"105","Man, Isle of",54.416,"54"
"106",India,35.506,"7"
"107",British Indian Ocean Territory,-7.233,"-7"
"108",Iran,39.779,"25"
"109",Israel,33.270,"29"
"110",Italy,47.095,"37"
"111",Ivory Coast,10.735,"4"
"112",Iraq,37.384,"29"
"113",Japan,45.486,"24"
"114",Jersey,49.261,"49"
"115",Jamaica,18.522,"18"
"116",Jan Mayen,71.181,"71"
"117",Jordan,33.378,"29"
"118",Johnston Atoll,16.730,"17"
"119",Juan De Nova Island,-17.052,"-17"
"120",Kenya,4.622,"-5"
"121",Kyrgyzstan,43.217,"39"
"122",North Korea,43.006,"38"
"123",Kiribati,2.033,"2"
"124",South Korea,38.625,"33"
"125",Christmas Island,-10.384,"-11"
"126",Kuwait,30.084,"29"
"127",Kazakhstan,55.443,"41"
"128",Laos,22.500,"14"
"129",Lebanon,34.647,"33"
"130",Latvia,58.083,"56"
"131",Lithuania,56.450,"54"
"132",Liberia,8.513,"4"
"133",Slovakia,49.601,"48"
"134",Liechtenstein,47.275,"47"
"135",Lesotho,-28.571,"-31"
"136",Luxembourg,50.182,"49"
"137",Libya,33.171,"19"
"138",Madagascar,-11.946,"-26"
"139",Martinique,14.880,"14"
"140",Macau,22.213,"22"
"141",Moldova,48.468,"45"
"142",Mayotte,-12.663,"-13"
"143",Mongolia,52.143,"42"
"144",Montserrat,16.812,"17"
"145",Malawi,-9.377,"-17"
"146",Macedonia,42.359,"41"
"147",Mali,25.000,"10"
"148",Monaco,43.768,"44"
"149",Morocco,35.919,"28"
"150",Mauritius,-19.673,"-21"
"151",Midway Islands,28.222,"28"
"152",Mauritania,27.290,"15"
"153",Malta,35.992,"36"
"154",Oman,26.369,"17"
"155",Maldives,7.028,"-1"
"156",Montenegro,43.556,"42"
"157",Mexico,32.718,"15"
"158",Malaysia,7.353,"1"
"159",Mozambique,-10.471,"-27"
"160",New Caledonia,-20.088,"-23"
"161",Niue,-18.963,"-19"
"162",Norfolk Island,-29.001,"-29"
"163",Niger,23.522,"12"
"164",Vanuatu,-13.707,"-20"
"165",Nigeria,13.891,"4"
